tanggal,jenis,nama,kategori,nominal
2024-01-01,pemasukan,Penjualan Produk B,penjualan,210107
2024-01-01,pengeluaran,Biaya Listrik,operasional,134489
2024-01-01,pemasukan,Pendapatan Royalti,lainnya,144132
2024-01-01,pemasukan,Penjualan Produk B,penjualan,159171
2024-01-01,pemasukan,Penjualan Produk C,penjualan,235759
2024-01-01,pemasukan,Pendapatan Royalti,lainnya,174485
2024-01-01,pengeluaran,Biaya Iklan,pemasaran,254592
2024-01-01,pengeluaran,Biaya Internet,operasional,112295
2024-01-01,pemasukan,Penjualan Produk A,penjualan,143269
2024-01-01,pemasukan,Penjualan Layanan Teknis,penjualan,332347
2024-01-01,pemasukan,Penjualan Layanan Teknis,penjualan,188384
2024-01-01,pengeluaran,Biaya Administrasi,administrasi,67785
2024-01-01,pengeluaran,Pembelian Material D,bahan baku,183682
2024-01-01,pengeluaran,Biaya Air,operasional,102650
2024-01-01,pemasukan,Pendapatan Sewa,lainnya,184369
2024-01-01,pengeluaran,Biaya Transportasi,operasional,142173
2024-01-01,pemasukan,Penjualan Produk C,penjualan,409694
2024-01-01,pemasukan,Penjualan Jasa Konsultasi,penjualan,293577
2024-01-01,pengeluaran,Biaya Telepon,operasional,123734
2024-01-02,pemasukan,Penjualan Produk C,penjualan,411446
2024-01-02,pemasukan,Pendapatan Royalti,lainnya,156827
2024-01-02,pengeluaran,Biaya Iklan,pemasaran,156156
2024-01-02,pemasukan,Penjualan Jasa Konsultasi,penjualan,463800
2024-01-02,pengeluaran,Biaya Iklan,pemasaran,218813
2024-01-02,pemasukan,Penjualan Layanan Teknis,penjualan,181445
2024-01-02,pemasukan,Penjualan Layanan Teknis,penjualan,463947
2024-01-02,pemasukan,Penjualan Produk C,penjualan,157218
2024-01-02,pengeluaran,Biaya Asuransi,administrasi,171760
2024-01-02,pengeluaran,Pemeliharaan Mesin,pemeliharaan,193301
2024-01-02,pengeluaran,Biaya Listrik,operasional,145582
2024-01-02,pengeluaran,Biaya Administrasi,administrasi,91945
2024-01-02,pengeluaran,Pembelian Komponen C,bahan baku,242505
2024-01-02,pemasukan,Penjualan Layanan Teknis,penjualan,138640
2024-01-02,pengeluaran,Pembelian Bahan Baku B,bahan baku,197947
2024-01-02,pemasukan,Pendapatan Sewa,lainnya,123793
2024-01-02,pengeluaran,Pemeliharaan Mesin,pemeliharaan,210929
2024-01-03,pengeluaran,Biaya Pajak,administrasi,87107
2024-01-03,pemasukan,Penjualan Produk A,penjualan,191333
2024-01-03,pengeluaran,Biaya Telepon,operasional,137496
2024-01-03,pengeluaran,Biaya Administrasi,administrasi,165197
2024-01-03,pengeluaran,Biaya Iklan,pemasaran,264719
2024-01-03,pengeluaran,Pemeliharaan Kendaraan,pemeliharaan,144507
2024-01-03,pemasukan,Penjualan Produk C,penjualan,444758
2024-01-03,pemasukan,Pendapatan Komisi,lainnya,109592
2024-01-03,pengeluaran,Biaya Legal,administrasi,108220
2024-01-03,pengeluaran,Biaya Legal,administrasi,138653
2024-01-03,pengeluaran,Biaya Digital Marketing,pemasaran,237391
2024-01-03,pengeluaran,Biaya Air,operasional,101030
2024-01-03,pengeluaran,Biaya Pajak,administrasi,151711
2024-01-03,pengeluaran,Biaya Notaris,administrasi,167492
2024-01-03,pengeluaran,Pembelian Komponen C,bahan baku,295927
2024-01-03,pengeluaran,Pemeliharaan Peralatan,pemeliharaan,250861
2024-01-03,pengeluaran,Biaya Legal,administrasi,111925
2024-01-03,pemasukan,Pendapatan Komisi,lainnya,189528
2024-01-03,pengeluaran,Biaya Cetak Brosur,pemasaran,127000
2024-01-04,pengeluaran,Pemeliharaan Kendaraan,pemeliharaan,222420
2024-01-04,pemasukan,Pendapatan Komisi,lainnya,129360
2024-01-04,pemasukan,Pendapatan Komisi,lainnya,185561
2024-01-04,pemasukan,Penjualan Produk A,penjualan,124982
2024-01-04,pemasukan,Pendapatan Royalti,lainnya,194173
2024-01-04,pengeluaran,Biaya Internet,operasional,102901
2024-01-04,pengeluaran,Biaya Administrasi,administrasi,138723
2024-01-04,pengeluaran,Pembelian Bahan Baku A,bahan baku,234793
2024-01-04,pemasukan,Pendapatan Sewa,lainnya,199545
2024-01-04,pengeluaran,Biaya Asuransi,administrasi,166377
2024-01-04,pemasukan,Penjualan Produk B,penjualan,495060
2024-01-04,pengeluaran,Pembelian Bahan Baku B,bahan baku,137403
2024-01-04,pengeluaran,Biaya Transportasi,operasional,134111
2024-01-04,pengeluaran,Biaya Iklan,pemasaran,271435
2024-01-04,pengeluaran,Biaya Pajak,administrasi,76763
2024-01-04,pemasukan,Penjualan Produk A,penjualan,66939
2024-01-05,pengeluaran,Biaya Digital Marketing,pemasaran,222936
2024-01-05,pemasukan,Pendapatan Royalti,lainnya,181305
2024-01-05,pengeluaran,Biaya Digital Marketing,pemasaran,194877
2024-01-05,pemasukan,Penjualan Layanan Teknis,penjualan,56207
2024-01-05,pengeluaran,Biaya Transportasi,operasional,141714
2024-01-05,pengeluaran,Biaya Event,pemasaran,288440
2024-01-05,pengeluaran,Biaya Digital Marketing,pemasaran,246169
2024-01-05,pemasukan,Penjualan Produk A,penjualan,329527
2024-01-05,pemasukan,Pendapatan Sewa,lainnya,156769
2024-01-05,pemasukan,Penjualan Layanan Teknis,penjualan,175466
2024-01-05,pengeluaran,Biaya Iklan,pemasaran,145267
2024-01-05,pengeluaran,Pembelian Bahan Baku B,bahan baku,142068
2024-01-05,pengeluaran,Biaya Iklan,pemasaran,124396
2024-01-05,pengeluaran,Biaya Legal,administrasi,114250
2024-01-05,pemasukan,Penjualan Layanan Teknis,penjualan,70346
2024-01-05,pemasukan,Pendapatan Komisi,lainnya,194776
2024-01-05,pengeluaran,Biaya Legal,administrasi,89093
2024-01-05,pengeluaran,Biaya Asuransi,administrasi,182933
2024-01-05,pengeluaran,Biaya Air,operasional,119708
2024-01-05,pengeluaran,Pemeliharaan Gedung,pemeliharaan,296412
2024-01-05,pemasukan,Pendapatan Komisi,lainnya,198148
2024-01-05,pengeluaran,Biaya Internet,operasional,124679
2024-01-05,pemasukan,Penjualan Produk B,penjualan,94388
2024-01-06,pemasukan,Pendapatan Komisi,lainnya,137775
2024-01-06,pemasukan,Penjualan Produk B,penjualan,310359
2024-01-06,pengeluaran,Biaya Legal,administrasi,80219
2024-01-06,pemasukan,Pendapatan Royalti,lainnya,183705
2024-01-06,pemasukan,Pendapatan Royalti,lainnya,188742
2024-01-06,pemasukan,Penjualan Layanan Teknis,penjualan,379412
2024-01-06,pemasukan,Pendapatan Sewa,lainnya,141302
2024-01-06,pemasukan,Pendapatan Komisi,lainnya,138333
2024-01-06,pengeluaran,Biaya Air,operasional,123693
2024-01-06,pengeluaran,Biaya Internet,operasional,146816
2024-01-06,pengeluaran,Pembelian Material D,bahan baku,279778
2024-01-06,pengeluaran,Biaya Internet,operasional,129176
2024-01-06,pemasukan,Penjualan Jasa Konsultasi,penjualan,170984
2024-01-06,pemasukan,Pendapatan Royalti,lainnya,162343
2024-01-06,pengeluaran,Pemeliharaan Peralatan,pemeliharaan,252345
2024-01-06,pengeluaran,Pemeliharaan Mesin,pemeliharaan,149205
2024-01-06,pengeluaran,Pembelian Bahan Baku B,bahan baku,282105
2024-01-06,pengeluaran,Biaya Asuransi,administrasi,78344
2024-01-06,pemasukan,Pendapatan Sewa,lainnya,156252
2024-01-07,pengeluaran,Pembelian Material D,bahan baku,146730
2024-01-07,pengeluaran,Gaji Karyawan,operasional,101764
2024-01-07,pemasukan,Pendapatan Komisi,lainnya,188964
2024-01-07,pemasukan,Pendapatan Komisi,lainnya,146771
2024-01-07,pengeluaran,Pemeliharaan Gedung,pemeliharaan,158752
2024-01-07,pemasukan,Penjualan Produk A,penjualan,468514
2024-01-07,pengeluaran,Biaya Promosi,pemasaran,270304
2024-01-07,pemasukan,Pendapatan Komisi,lainnya,112825
2024-01-07,pemasukan,Penjualan Layanan Teknis,penjualan,337101
2024-01-07,pengeluaran,Biaya Promosi,pemasaran,264083
2024-01-07,pengeluaran,Pembelian Bahan Baku B,bahan baku,151269
2024-01-07,pengeluaran,Biaya Notaris,administrasi,175670
2024-01-07,pengeluaran,Biaya Transportasi,operasional,111035
2024-01-07,pemasukan,Penjualan Jasa Konsultasi,penjualan,194975
2024-01-07,pemasukan,Pendapatan Royalti,lainnya,133401
2024-01-07,pengeluaran,Pembelian Material D,bahan baku,190607
2024-01-07,pemasukan,Pendapatan Sewa,lainnya,106124
2024-01-07,pemasukan,Pendapatan Royalti,lainnya,140705
2024-01-07,pengeluaran,Biaya Asuransi,administrasi,91858
2024-01-08,pengeluaran,Biaya Pajak,administrasi,171742
2024-01-08,pemasukan,Penjualan Layanan Teknis,penjualan,224847
2024-01-08,pengeluaran,Biaya Administrasi,administrasi,128416
2024-01-08,pemasukan,Penjualan Produk A,penjualan,273593
2024-01-08,pemasukan,Penjualan Layanan Teknis,penjualan,50488
2024-01-08,pemasukan,Penjualan Layanan Teknis,penjualan,171781
2024-01-08,pemasukan,Penjualan Produk B,penjualan,363542
2024-01-08,pemasukan,Pendapatan Komisi,lainnya,154894
2024-01-08,pengeluaran,Biaya Promosi,pemasaran,203722
2024-01-08,pengeluaran,Gaji Karyawan,operasional,109067
2024-01-08,pengeluaran,Biaya Asuransi,administrasi,195315
2024-01-08,pengeluaran,Biaya Promosi,pemasaran,102409
2024-01-08,pemasukan,Penjualan Produk B,penjualan,201869
2024-01-08,pemasukan,Pendapatan Komisi,lainnya,161650
2024-01-08,pengeluaran,Biaya Administrasi,administrasi,76406
2024-01-08,pemasukan,Pendapatan Sewa,lainnya,135258
2024-01-08,pemasukan,Penjualan Produk B,penjualan,380436
2024-01-08,pengeluaran,Biaya Promosi,pemasaran,163984
2024-01-08,pemasukan,Penjualan Layanan Teknis,penjualan,439629
2024-01-08,pemasukan,Penjualan Produk A,penjualan,161536
2024-01-09,pengeluaran,Biaya Asuransi,administrasi,152354
2024-01-09,pengeluaran,Biaya Pajak,administrasi,129091
2024-01-09,pengeluaran,Biaya Cetak Brosur,pemasaran,216452
2024-01-09,pengeluaran,Biaya Telepon,operasional,120536
2024-01-09,pengeluaran,Pemeliharaan Mesin,pemeliharaan,257594
2024-01-09,pemasukan,Penjualan Layanan Teknis,penjualan,112339
2024-01-09,pemasukan,Penjualan Produk C,penjualan,315681
2024-01-09,pengeluaran,Pemeliharaan Peralatan,pemeliharaan,107910
2024-01-09,pengeluaran,Gaji Karyawan,operasional,119134
2024-01-09,pemasukan,Pendapatan Komisi,lainnya,120779
2024-01-09,pemasukan,Pendapatan Komisi,lainnya,132287
2024-01-09,pemasukan,Pendapatan Sewa,lainnya,156788
2024-01-09,pemasukan,Penjualan Produk B,penjualan,248615
2024-01-09,pemasukan,Penjualan Produk B,penjualan,371003
2024-01-09,pengeluaran,Biaya Promosi,pemasaran,140181
2024-01-09,pemasukan,Pendapatan Sewa,lainnya,167011
2024-01-09,pengeluaran,Biaya Pajak,administrasi,191897
2024-01-09,pemasukan,Pendapatan Sewa,lainnya,141767
2024-01-09,pengeluaran,Gaji Karyawan,operasional,145038
2024-01-09,pengeluaran,Pemeliharaan Mesin,pemeliharaan,224225
2024-01-09,pemasukan,Pendapatan Sewa,lainnya,166614
2024-01-09,pemasukan,Penjualan Jasa Konsultasi,penjualan,130317
2024-01-09,pemasukan,Penjualan Produk B,penjualan,444086
2024-01-10,pengeluaran,Pembelian Material D,bahan baku,269229
2024-01-10,pengeluaran,Pembelian Bahan Baku A,bahan baku,153988
2024-01-10,pemasukan,Penjualan Produk C,penjualan,473097
2024-01-10,pengeluaran,Pembelian Bahan Baku A,bahan baku,103107
2024-01-10,pengeluaran,Biaya Event,pemasaran,111437
2024-01-10,pengeluaran,Biaya Administrasi,administrasi,76797
