tanggal,jenis,nama,kategori,nominal,Nama Toko
2022-01-01,pemasukan,Penjualan Mie Ayam,penjualan,90000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Pecel Lele,penjualan,78000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Bakso,penjualan,22000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Ayam Bakar,penjualan,150000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Jus Alpukat,penjualan,78000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Pecel Lele,penjualan,13000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Ayam Bakar,penjualan,105000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Nasi Goreng,penjualan,84000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Soto Ayam,penjualan,36000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Nasi Goreng,penjualan,24000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Nasi Uduk,penjualan,10000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Es Teh,penjualan,50000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Es Teh,penjualan,40000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Es Teh,penjualan,10000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Es Teh,penjualan,10000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Soto Ayam,penjualan,36000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Es Teh,penjualan,20000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Ayam Bakar,penjualan,15000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Jus Alpukat,penjualan,104000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Ayam Bakar,penjualan,105000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Nasi Goreng,penjualan,108000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Bakso,penjualan,88000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Ayam Bakar,penjualan,45000,Warung bu sholeh
2022-01-01,pemasukan,Penjualan Soto Ayam,penjualan,72000,Warung bu sholeh
2022-01-01,pengeluaran,Beli Bahan Baku,bahan baku,775582,Warung bu sholeh
2022-01-01,pengeluaran,Transportasi,logistik,78673,Warung bu sholeh
2022-01-01,pengeluaran,Pembelian Gas,bahan bakar,863168,Warung bu sholeh
2022-01-01,pengeluaran,Biaya Listrik,operasional,3944414,Warung bu sholeh
2022-01-01,pengeluaran,Biaya Air,operasional,304414,Warung bu sholeh
2022-01-01,pengeluaran,Biaya Sewa Tempat,sewa,5000000,Warung bu sholeh
2022-01-02,pemasukan,Penjualan Bakso,penjualan,33000,Warung bu sholeh
