tanggal,jenis,nama,kategori,nominal
2023-01-01,pemasukan,Penjualan Pecel Lele,penjualan,52000
2023-01-01,pemasukan,Penjualan Jus Alpukat,penjualan,65000
2023-01-01,pemasukan,Penjualan Soto Ayam,penjualan,84000
2023-01-01,pemasukan,Penjualan Jus Alpukat,penjualan,117000
2023-01-01,pemasukan,Penjualan Jus Alpukat,penjualan,26000
2023-01-01,pemasukan,Penjualan Soto Ayam,penjualan,72000
2023-01-01,pemasukan,Penjualan Jus Alpukat,penjualan,65000
2023-01-01,pemasukan,Penjualan Nasi Uduk,penjualan,90000
2023-01-01,pemasukan,Penjualan Ayam Bakar,penjualan,150000
2023-01-01,pemasukan,Penjualan Mie Ayam,penjualan,40000
2023-01-01,pemasukan,Penjualan Pecel Lele,penjualan,13000
2023-01-01,pemasukan,Penjualan Es Teh,penjualan,50000
2023-01-01,pemasukan,Penjualan Soto Ayam,penjualan,108000
2023-01-01,pemasukan,Penjualan Bakso,penjualan,22000
2023-01-01,pemasukan,Penjualan Mie Ayam,penjualan,20000
2023-01-01,pemasukan,Penjualan Ayam Bakar,penjualan,150000
2023-01-01,pemasukan,Penjualan Mie Ayam,penjualan,30000
2023-01-01,pemasukan,Penjualan Nasi Uduk,penjualan,100000
2023-01-01,pemasukan,Penjualan Nasi Uduk,penjualan,40000
2023-01-01,pemasukan,Penjualan Kopi Hitam,penjualan,63000
2023-01-01,pemasukan,Penjualan Bakso,penjualan,66000
2023-01-01,pemasukan,Penjualan Nasi Uduk,penjualan,30000
2023-01-01,pemasukan,Penjualan Nasi Uduk,penjualan,100000
2023-01-01,pemasukan,Penjualan Soto Ayam,penjualan,96000
2023-01-01,pemasukan,Penjualan Pecel Lele,penjualan,65000
2023-01-01,pemasukan,Penjualan Soto Ayam,penjualan,120000
2023-01-01,pengeluaran,Beli Bahan Baku,bahan baku,708868
2023-01-01,pengeluaran,Transportasi,logistik,67832
2023-01-01,pengeluaran,Biaya Listrik,operasional,3439751
2023-01-01,pengeluaran,Biaya Air,operasional,442892
2023-01-01,pengeluaran,Biaya Sewa Tempat,sewa,5000000
2023-01-02,pemasukan,Penjualan Nasi Uduk,penjualan,20000
2023-01-02,pemasukan,Penjualan Kopi Hitam,penjualan,35000
2023-01-02,pemasukan,Penjualan Ayam Bakar,penjualan,150000
2023-01-02,pemasukan,Penjualan Nasi Goreng,penjualan,108000
2023-01-02,pemasukan,Penjualan Nasi Uduk,penjualan,30000
2023-01-02,pemasukan,Penjualan Nasi Goreng,penjualan,72000
2023-01-02,pemasukan,Penjualan Es Teh,penjualan,10000
2023-01-02,pemasukan,Penjualan Nasi Uduk,penjualan,100000
2023-01-02,pemasukan,Penjualan Nasi Uduk,penjualan,80000
2023-01-02,pemasukan,Penjualan Soto Ayam,penjualan,72000
2023-01-02,pemasukan,Penjualan Ayam Bakar,penjualan,60000
2023-01-02,pemasukan,Penjualan Soto Ayam,penjualan,48000
2023-01-02,pemasukan,Penjualan Kopi Hitam,penjualan,7000
2023-01-02,pemasukan,Penjualan Pecel Lele,penjualan,104000
2023-01-02,pemasukan,Penjualan Mie Ayam,penjualan,30000
2023-01-02,pemasukan,Penjualan Bakso,penjualan,88000
2023-01-02,pemasukan,Penjualan Pecel Lele,penjualan,65000
2023-01-02,pemasukan,Penjualan Mie Ayam,penjualan,20000
2023-01-02,pemasukan,Penjualan Ayam Bakar,penjualan,15000
2023-01-02,pemasukan,Penjualan Soto Ayam,penjualan,84000
2023-01-02,pemasukan,Penjualan Kopi Hitam,penjualan,14000
2023-01-02,pemasukan,Penjualan Jus Alpukat,penjualan,117000
2023-01-02,pemasukan,Penjualan Ayam Bakar,penjualan,120000
2023-01-02,pemasukan,Penjualan Pecel Lele,penjualan,91000
2023-01-02,pengeluaran,Beli Bahan Baku,bahan baku,527866
2023-01-02,pengeluaran,Pembelian Gas,bahan bakar,881022
2023-01-02,pengeluaran,Gaji Karyawan,gaji,2830190
2023-01-03,pemasukan,Penjualan Ayam Bakar,penjualan,15000
2023-01-03,pemasukan,Penjualan Ayam Bakar,penjualan,15000
2023-01-03,pemasukan,Penjualan Jus Alpukat,penjualan,65000
2023-01-03,pemasukan,Penjualan Kopi Hitam,penjualan,49000
2023-01-03,pemasukan,Penjualan Es Teh,penjualan,40000
