tanggal,jenis,nama,kategori,nominal,Nama Toko
2022-01-01,pemasukan,Penjualan Kepala Ikan Tongkol,penjualan,45000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Tahu/Tempe,penjualan,4000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Limpa/Hati,penjualan,153000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Es Jeruk,penjualan,25000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Nasi Usus / Iso,penjualan,66000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Cincang,penjualan,68000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Ikan Balado,penjualan,18000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Air Mineral,penjualan,21000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Ikan Gulai,penjualan,63000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Rendang,penjualan,50000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Es Teh,penjualan,27000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Nasi Otak,penjualan,154000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Nasi Ikan Goreng,penjualan,78000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Nasi Limpa / Hati,penjualan,176000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Nasi Ikan Balado,penjualan,13000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Nasi Ikan Balado,penjualan,91000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Ayam Goreng,penjualan,81000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Nasi Perkedel,penjualan,99000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Ayam Bakar,penjualan,45000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Air Mineral,penjualan,3000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Lemon/Jeruk Jumbo,penjualan,24000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Nasi Babat,penjualan,198000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Tahu/Tempe,penjualan,36000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Ikan Balado,penjualan,36000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Nasi Ikan Goreng,penjualan,13000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Tahu/Tempe,penjualan,16000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Usus/ISO,penjualan,68000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Ayam Balado,penjualan,27000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Telor,penjualan,60000,RM Sinar Balatas
2022-01-01,pemasukan,Penjualan Nasi Ayam Balado,penjualan,104000,RM Sinar Balatas
2022-01-01,pengeluaran,Beli Bahan Baku,bahan baku,757127,RM Sinar Balatas
2022-01-01,pengeluaran,Biaya Listrik,operasional,2863416,RM Sinar Balatas
2022-01-01,pengeluaran,Biaya Air,operasional,272576,RM Sinar Balatas
2022-01-01,pengeluaran,Biaya Sewa Tempat,sewa,4042452,RM Sinar Balatas
2022-01-02,pemasukan,Penjualan Nasi Perkedel,penjualan,99000,RM Sinar Balatas
2022-01-02,pemasukan,Penjualan Ayam Goreng,penjualan,81000,RM Sinar Balatas
2022-01-02,pemasukan,Penjualan Nasi Ikan Gulai,penjualan,26000,RM Sinar Balatas
2022-01-02,pemasukan,Penjualan Jeruk Hangat,penjualan,30000,RM Sinar Balatas
2022-01-02,pemasukan,Penjualan Rendang,penjualan,80000,RM Sinar Balatas
2022-01-02,pemasukan,Penjualan Nasi Usus / Iso,penjualan,176000,RM Sinar Balatas
2022-01-02,pemasukan,Penjualan Nasi Ikan Goreng,penjualan,39000,RM Sinar Balatas
2022-01-02,pemasukan,Penjualan Ikan Goreng,penjualan,63000,RM Sinar Balatas
2022-01-02,pemasukan,Penjualan Otak,penjualan,102000,RM Sinar Balatas
