tanggal,jenis,nama,kategori,nominal,Nama Toko
2022-01-01,pemasukan,Penjualan Lemon Tea,penjualan,5000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Ayam Bakar,penjualan,63000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Nasi Cumi,penjualan,154000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Ekstra Sambel,penjualan,18000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Air Mineral,penjualan,18000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Lemon Tea,penjualan,45000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Es Teh Jumbo,penjualan,15000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Nasi Ayam Balado,penjualan,26000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Nasi Usus / Iso,penjualan,22000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Nasi Kepala Ikan Tongkol,penjualan,135000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Nasi Telor,penjualan,22000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Nasi Ikan Goreng,penjualan,52000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Nasi Kikil / Tunjang,penjualan,132000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Babat,penjualan,136000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Nasi Otak,penjualan,110000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Ayam Goreng,penjualan,18000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Es Teh Jumbo,penjualan,45000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Jengkol,penjualan,20000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Nasi Ayam Bakar,penjualan,117000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Lemon Tea,penjualan,20000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Nasi Telor,penjualan,66000,RM Sinar Baledo
2022-01-01,pemasukan,Penjualan Nasi Ayam Goreng,penjualan,26000,RM Sinar Baledo
2022-01-01,pengeluaran,Beli Bahan Baku,bahan baku,670509,RM Sinar Baledo
2022-01-01,pengeluaran,Transportasi,logistik,33014,RM Sinar Baledo
2022-01-01,pengeluaran,Biaya Listrik,operasional,2928558,RM Sinar Baledo
2022-01-01,pengeluaran,Biaya Air,operasional,299022,RM Sinar Baledo
2022-01-01,pengeluaran,Biaya Sewa Tempat,sewa,4096685,RM Sinar Baledo
2022-01-02,pemasukan,Penjualan Tahu/Tempe,penjualan,24000,RM Sinar Baledo
2022-01-02,pemasukan,Penjualan Ayam Gulai,penjualan,36000,RM Sinar Baledo
2022-01-02,pemasukan,Penjualan Dendeng Lambok,penjualan,90000,RM Sinar Baledo
2022-01-02,pemasukan,Penjualan Nasi Ayam Goreng,penjualan,130000,RM Sinar Baledo
2022-01-02,pemasukan,Penjualan Nasi Ayam Bakar,penjualan,91000,RM Sinar Baledo
